,Epoch,TrainingLoss,TrainingAccuracy,ValidationLoss,ValidationAccuracy
0,1,1.3764571818438442,0.3272727283564481,1.3859713944521816,0.25
0,2,1.3704523368315262,0.30454545346173373,1.3864068009636619,0.25
0,3,1.3654330231926657,0.29772727381099356,1.387137228792364,0.25
0,4,1.359547302939675,0.3340909074653279,1.38831196048043,0.25
0,5,1.3488105643879285,0.30454545508731495,1.3900913975455544,0.25
0,6,1.345993505824696,0.2590909096327695,1.3921987143429844,0.25
0,7,1.3372787497260354,0.2840909080071883,1.3952704451300881,0.25
0,8,1.333735676245256,0.3295454537326639,1.3987417437813499,0.25
0,9,1.3334808566353538,0.27954545508731493,1.4022594798694958,0.25
0,10,1.323264596678994,0.3113636374473572,1.4068348732861606,0.25
0,11,1.3214425520463424,0.30227272645993664,1.4106786359440198,0.25
0,12,1.3222921349785544,0.30454545454545456,1.4139552874998613,0.35795454545454547
0,13,1.320336779681119,0.2977272716435519,1.4165025407617742,0.25
0,14,1.3193959712982177,0.325,1.4198523651469837,0.3465909090909091
0,15,1.3210561513900756,0.28863636363636364,1.4222618666562168,0.25
0,16,1.3205461285331033,0.2977272732691331,1.4239836606112393,0.25
0,17,1.3171699567274613,0.2909090909090909,1.4255007071928545,0.25
0,18,1.3200157555666836,0.29545454653826625,1.4270843267440796,0.25
0,19,1.3166151155125012,0.3272727267308669,1.427281834862449,0.25
0,20,1.3148729454387318,0.3022727278145877,1.427903944795782,0.25
0,21,1.3174945484508167,0.27272727435285393,1.4292802593924783,0.25
